audience,product_id,observed_id,queue_audience,source_dataset,source_raw_path,source_raw_sha256,final_path,status,evidence_source,json_ld_status,hydration_status,both_valid,evidence_conflict,audience_matches,breadcrumb_depth,is_db_candidate,db_candidate_reason,unresolved_reason
MEN,E422992-000,E422992-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E422992-000.html,241cc1d3622fe9236b93a2c32a97b85c7ca5474a7469fbbb6cbe6d2aa8fc2156,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E458325-000,E458325-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E458325-000.html,95ee6df74e95ed145dca429384fbd40a310d516d572ad8742d38891e6c1adf6f,팬츠 > 쇼트 팬츠(반바지) > 이지(허리 밴딩),resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E455365-000,E455365-000,WOMEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E455365-000.html,c87d829e1be0601d5be0e9cbed861f0c262b1788327651d8310aa33050188d6e,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E465185-000,E465185-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E465185-000.html,d05bee51d2bf56c5c0d24c04684a517efe744191d36f4f4ddae3809524513428,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 에어리즘 코튼,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E471809-000,E471809-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E471809-000.html,137e90e8b2f98838af593e698ac349d57f64e5ad4414c31b63a2d8abb8daede9,팬츠 > 스웨트 팬츠 & 조거 팬츠 > 스웨트,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E473715-000,E473715-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E473715-000.html,9a0ca2c878e01b53ef901513d50cf2bd5f578736de62934b5d009e173c95782a,팬츠 > 스웨트 팬츠 & 조거 팬츠 > 스웨트,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E475386-000,E475386-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E475386-000.html,c6ed6fe87471236bd4e459b8ba489aca8f5f4f470c5dea74eed055c6ee3d5e24,스포츠 유틸리티 웨어 > 팬츠 > 울트라 스트레치 팬츠,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E478702-000,E478702-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E478702-000.html,eef9eb563ec5c895dbc23ccced1a048aeedc48a0f6a6cca0a74f4518228a23a7,GU > 팬츠 > 팬츠,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E481582-000,E481582-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E481582-000.html,6059f774ddd294adc56d7e9bcb76a065fb9e9bd7465f62c33a91a8237fe0d40a,팬츠 > 쇼트 팬츠(반바지) > 이지(허리 밴딩),resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
MEN,E481583-000,E481583-000,MEN,CategoryCorpus-live-medium,Docs/Research/CategoryCorpus-live-medium/raw/uniqlo/products/E481583-000.html,088368674507c3d681a6ec8624174ba81b1057206f8baa9885b439ae80784860,라운지 팬츠 > 라운지 팬츠 > 쇼트 팬츠,resolved,uniqlo_hydration,unresolved,resolved,False,False,True,4,True,not excluded by current known-category policy,
