source,product_key,observed_id,queue_audience,product_name,audience,accepted_for_audience_quota,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
musinsa,1803235,1803235,,,,True,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/1803235,musinsa_detail_api,[],
musinsa,1803462,1803462,,,,True,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/1803462,musinsa_detail_api,[],
musinsa,1884480,1884480,,,,True,바지 > 숏 팬츠,바지,003,숏 팬츠,003009,,,,,https://goods-detail.musinsa.com/api2/goods/1884480,musinsa_detail_api,[],
musinsa,2124438,2124438,,,,True,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2124438,musinsa_detail_api,[],
musinsa,2398609,2398609,,,,True,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2398609,musinsa_detail_api,[],
musinsa,2444810,2444810,,,,True,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2444810,musinsa_detail_api,[],
musinsa,2578996,2578996,,,,True,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2578996,musinsa_detail_api,[],
musinsa,2609006,2609006,,,,True,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2609006,musinsa_detail_api,[],
musinsa,2737014,2737014,,,,True,아우터 > 사파리/헌팅 재킷,아우터,002,사파리/헌팅 재킷,002014,,,,,https://goods-detail.musinsa.com/api2/goods/2737014,musinsa_detail_api,[],
musinsa,2796118,2796118,,,,True,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/2796118,musinsa_detail_api,[],
musinsa,3132891,3132891,,,,True,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3132891,musinsa_detail_api,[],
musinsa,3135305,3135305,,,,True,원피스/스커트 > 롱스커트,원피스/스커트,100,롱스커트,100006,,,,,https://goods-detail.musinsa.com/api2/goods/3135305,musinsa_detail_api,[],
musinsa,3154695,3154695,,,,True,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/3154695,musinsa_detail_api,[],
musinsa,3182421,3182421,,,,True,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3182421,musinsa_detail_api,[],
musinsa,3201942,3201942,,,,True,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/3201942,musinsa_detail_api,[],
musinsa,3298849,3298849,,,,True,바지 > 코튼 팬츠,바지,003,코튼 팬츠,003007,,,,,https://goods-detail.musinsa.com/api2/goods/3298849,musinsa_detail_api,[],
musinsa,3776694,3776694,,,,True,아우터 > 나일론/코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/3776694,musinsa_detail_api,[],
musinsa,3791988,3791988,,,,True,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/3791988,musinsa_detail_api,[],
musinsa,3812607,3812607,,,,True,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3812607,musinsa_detail_api,[],
musinsa,4043491,4043491,,,,True,원피스/스커트 > 미니원피스,원피스/스커트,100,미니원피스,100001,,,,,https://goods-detail.musinsa.com/api2/goods/4043491,musinsa_detail_api,[],
musinsa,4059353,4059353,,,,True,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/4059353,musinsa_detail_api,[],
musinsa,4154987,4154987,,,,True,원피스/스커트 > 맥시원피스,원피스/스커트,100,맥시원피스,100003,,,,,https://goods-detail.musinsa.com/api2/goods/4154987,musinsa_detail_api,[],
musinsa,4210175,4210175,,,,True,바지 > 트레이닝/조거 팬츠,바지,003,트레이닝/조거 팬츠,003004,,,,,https://goods-detail.musinsa.com/api2/goods/4210175,musinsa_detail_api,[],
musinsa,4276989,4276989,,,,True,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/4276989,musinsa_detail_api,[],
musinsa,4321179,4321179,,,,True,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/4321179,musinsa_detail_api,[],
musinsa,4336062,4336062,,,,True,아우터 > 트레이닝 재킷,아우터,002,트레이닝 재킷,002018,,,,,https://goods-detail.musinsa.com/api2/goods/4336062,musinsa_detail_api,[],
musinsa,4622191,4622191,,,,True,원피스/스커트 > 미니원피스,원피스/스커트,100,미니원피스,100001,,,,,https://goods-detail.musinsa.com/api2/goods/4622191,musinsa_detail_api,[],
