source,product_key,observed_id,product_name,audience,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
musinsa,1803235,,,,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/1803235,musinsa_detail_api,,
musinsa,1803462,,,,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/1803462,musinsa_detail_api,,
musinsa,1884480,,,,바지 > 숏 팬츠,바지,003,숏 팬츠,003009,,,,,https://goods-detail.musinsa.com/api2/goods/1884480,musinsa_detail_api,,
musinsa,2124438,,,,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2124438,musinsa_detail_api,,
musinsa,2398609,,,,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2398609,musinsa_detail_api,,
musinsa,2444810,,,,아우터 > 슈트/블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2444810,musinsa_detail_api,,
musinsa,2578996,,,,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2578996,musinsa_detail_api,,
musinsa,2609006,,,,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2609006,musinsa_detail_api,,
musinsa,2737014,,,,아우터 > 사파리/헌팅 재킷,아우터,002,사파리/헌팅 재킷,002014,,,,,https://goods-detail.musinsa.com/api2/goods/2737014,musinsa_detail_api,,
musinsa,2796118,,,,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/2796118,musinsa_detail_api,,
musinsa,3132891,,,,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3132891,musinsa_detail_api,,
musinsa,3135305,,,,원피스/스커트 > 롱스커트,원피스/스커트,100,롱스커트,100006,,,,,https://goods-detail.musinsa.com/api2/goods/3135305,musinsa_detail_api,,
musinsa,3154695,,,,바지 > 슈트 팬츠/슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/3154695,musinsa_detail_api,,
musinsa,3182421,,,,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3182421,musinsa_detail_api,,
musinsa,3201942,,,,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/3201942,musinsa_detail_api,,
