source,product_key,observed_id,queue_audience,product_name,audience,accepted_for_audience_quota,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
uniqlo,E422992,E422992-000,MEN,,MEN,True,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & 스웨트셔츠 & UT,57967,티셔츠 (반팔 & 긴팔),58039,반팔,58395,,,https://www.uniqlo.com/kr/ko/products/E422992-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58039"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58395"",""name"":""short sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E424873,E424873-000,WOMEN,,WOMEN,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & UT,57959,티셔츠 (반팔 & 긴팔),57995,반팔,58144,,,https://www.uniqlo.com/kr/ko/products/E424873-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57959"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""57995"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58144"",""name"":""half sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E439340,E439340-000,KIDS,,KIDS,True,이너웨어 > 언더웨어 > 복서브리프,이너웨어,57978,언더웨어,58095,복서브리프,58650,,,https://www.uniqlo.com/kr/ko/products/E439340-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57978"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58095"",""name"":""underwear"",""locale"":""언더웨어"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58650"",""name"":""boxer briefs"",""locale"":""복서브리프"",""level"":4,""raw_order"":3}]",
uniqlo,E444715,E444715-000,BABY,,BABY,True,영유아(6개월~5세) > 레깅스 & 팬츠 > 레깅스,영유아(6개월~5세),57981,레깅스 & 팬츠,58113,레깅스,58714,,,https://www.uniqlo.com/kr/ko/products/E444715-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57925"",""name"":""baby"",""locale"":""BABY"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57981"",""name"":""toddler"",""locale"":""영유아(6개월~5세)"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58113"",""name"":""pants and leggings"",""locale"":""레깅스 & 팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58714"",""name"":""leggings"",""locale"":""레깅스"",""level"":4,""raw_order"":3}]",
uniqlo,E433776,E433776-000,MEN,,MEN,True,액세서리 > 우산 > 우산,액세서리,57972,우산,58074,우산,58570,,,https://www.uniqlo.com/kr/ko/products/E433776-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57972"",""name"":""accessories"",""locale"":""액세서리"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58074"",""name"":""accessories"",""locale"":""우산"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58570"",""name"":""umbrella"",""locale"":""우산"",""level"":4,""raw_order"":3}]",
uniqlo,E450195,E450195-000,WOMEN,,MEN,True,아우터 > 파카 & 블루종 > 후리스,아우터,57966,파카 & 블루종,58035,후리스,98333,,,https://www.uniqlo.com/kr/ko/products/E450195-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58035"",""name"":""parkas and blousons"",""locale"":""파카 & 블루종"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""98333"",""name"":""fleece"",""locale"":""후리스"",""level"":4,""raw_order"":3}]",
uniqlo,E454063,E454063-000,KIDS,,KIDS,True,이너웨어 > 에어리즘 > 에어리즘 코튼 블렌드,이너웨어,57978,에어리즘,58091,에어리즘 코튼 블렌드,58633,,,https://www.uniqlo.com/kr/ko/products/E454063-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57978"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58091"",""name"":""airism"",""locale"":""에어리즘"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58633"",""name"":""airism cotton brend"",""locale"":""에어리즘 코튼 블렌드"",""level"":4,""raw_order"":3}]",
uniqlo,E444812,E444812-000,BABY,,BABY,True,신생아(0개월~2세) > 바디수트 > 코튼메쉬,신생아(0개월~2세),57980,바디수트,58102,코튼메쉬,58673,,,https://www.uniqlo.com/kr/ko/products/E444812-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57925"",""name"":""baby"",""locale"":""BABY"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57980"",""name"":""newborn"",""locale"":""신생아(0개월~2세)"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58102"",""name"":""bodysuits"",""locale"":""바디수트"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58673"",""name"":""cotton mesh"",""locale"":""코튼메쉬"",""level"":4,""raw_order"":3}]",
uniqlo,E439661,E439661-000,MEN,,MEN,True,이너웨어 > 언더웨어 > 코튼 트렁크,이너웨어,57970,언더웨어,58063,코튼 트렁크,58531,,,https://www.uniqlo.com/kr/ko/products/E439661-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57970"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58063"",""name"":""underwear"",""locale"":""언더웨어"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58531"",""name"":""trunks"",""locale"":""코튼 트렁크"",""level"":4,""raw_order"":3}]",
uniqlo,E450259,E450259-000,WOMEN,,MEN,True,셔츠 > 캐주얼셔츠 > 옥스포드,셔츠,95356,캐주얼셔츠,95359,옥스포드,95424,,,https://www.uniqlo.com/kr/ko/products/E450259-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""95356"",""name"":""shirts and polo shirts"",""locale"":""셔츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""95359"",""name"":""casual shirts"",""locale"":""캐주얼셔츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""95424"",""name"":""oxford"",""locale"":""옥스포드"",""level"":4,""raw_order"":3}]",
