쇼핑몰,성별 또는 섹션,categoryDepth1 이름,categoryDepth1 ID,categoryDepth2 이름,categoryDepth2 ID,categoryDepth3 이름,categoryDepth3 ID,categoryDepth4 이름,categoryDepth4 ID,원본 카테고리 전체 경로,카테고리 정보 출처,고유 상품 수,FitMatch 대분류 후보,FitMatch 상세분류 후보,매핑 확실성,매핑 근거,여러 의류 유형 혼합,성별에 따른 동명 중복,실질적 동일 카테고리 여부
무신사,남성,상의,001,반소매 티셔츠,001001,"","","","",상의 / 반소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6708161,15,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,상의,001,반소매 티셔츠,001001,"","","","",상의 / 반소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6797266,20,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,상의,001,셔츠/블라우스,001002,"","","","",상의 / 셔츠/블라우스,https://goods-detail.musinsa.com/api2/goods/6755330,3,상의,셔츠|블라우스|기타,검토 필요,셔츠/블라우스 통합 원본 경로이며 현재 canonical resolver가 소매 정보 없이는 other_tops로 처리할 수 있어 상품별 검토 필요,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,상의,001,반소매 티셔츠,001001,"","","","",상의 / 반소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6709666,4,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,스포츠/레저,017,상의,017016,나시/민소매 티셔츠,017016003,"","",스포츠/레저 / 상의 / 나시/민소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6008535,1,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,스포츠/레저,017,상의,017016,반소매 티셔츠,017016005,"","",스포츠/레저 / 상의 / 반소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6632593,3,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,상의,001,긴소매 티셔츠,001010,"","","","",상의 / 긴소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/5982920,2,상의,긴팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,상의,001,셔츠/블라우스,001002,"","","","",상의 / 셔츠/블라우스,https://goods-detail.musinsa.com/api2/goods/4989733,4,상의,셔츠|블라우스|기타,검토 필요,셔츠/블라우스 통합 원본 경로이며 현재 canonical resolver가 소매 정보 없이는 other_tops로 처리할 수 있어 상품별 검토 필요,아니오,확인할 수 없음,확인할 수 없음
무신사,라이프,상의,001,반소매 티셔츠,001001,"","","","",상의 / 반소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6418260,2,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,상의,001,민소매 티셔츠,001011,"","","","",상의 / 민소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6515855,1,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
