쇼핑몰,원본 카테고리 경로,FitMatch 대분류 후보,FitMatch 상세분류 후보,확정 여부,예외와 충돌 사례
무신사,상의 / 반소매 티셔츠,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 반소매 티셔츠,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 셔츠/블라우스,상의,셔츠|블라우스|기타,검토 필요,셔츠/블라우스 통합 원본 경로이며 현재 canonical resolver가 소매 정보 없이는 other_tops로 처리할 수 있어 상품별 검토 필요
무신사,상의 / 반소매 티셔츠,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 상의 / 나시/민소매 티셔츠,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 상의 / 반소매 티셔츠,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 긴소매 티셔츠,상의,긴팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 셔츠/블라우스,상의,셔츠|블라우스|기타,검토 필요,셔츠/블라우스 통합 원본 경로이며 현재 canonical resolver가 소매 정보 없이는 other_tops로 처리할 수 있어 상품별 검토 필요
무신사,상의 / 반소매 티셔츠,상의,반팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 민소매 티셔츠,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 민소매 티셔츠,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 긴소매 티셔츠,상의,긴팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,상의 / 니트/스웨터,상의,니트|기타,검토 필요,니트 enum은 존재하지만 현재 canonical resolver가 원본 니트 경로를 detail knit로 확정하지 않아 검토 필요
무신사,상의 / 기타 상의,상의,기타,검토 필요,기타 상의 경로는 세부 유형을 확정할 근거가 부족함
무신사,아우터 / 후드 집업,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 카디건,아우터,가디건,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 트레이닝 재킷,아우터,재킷,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 나일론/코치 재킷,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 나일론/코치 재킷,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 나일론/코치 재킷,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 슈트/블레이저 재킷,아우터,블레이저,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 기타 아우터,아우터,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 기타 아우터,아우터,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 슈트/블레이저 재킷,아우터,블레이저,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 후드 집업,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 카디건,아우터,가디건,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 후드 집업,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 아우터 / 나일론/코치 재킷,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 경량 패딩/패딩 베스트 / 경량 패딩,아우터,경량패딩,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 트레이닝 재킷,아우터,재킷,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,아우터 / 경량 패딩/패딩 베스트 / 경량 패딩,아우터,경량패딩,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 데님 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 코튼 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 슈트 팬츠/슬랙스,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 기타 하의,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
