"쇼핑몰","원본 카테고리 경로","원본 실측 항목명","등장 상품 수","카테고리 상품 수","확보율","표준 실측명 후보","매핑 확실성","단위","측정 기준 설명","동명 이의어·이명 동의어","교차 비교 가능 여부","측정 기준 차이·제한 사유"
"무신사","상의 / 반소매 티셔츠","총장","15","15","15/15 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","어깨너비","13","15","13/15 = 86.7%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","가슴단면","15","15","15/15 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","소매길이","15","15","15/15 = 100.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","총장","19","20","19/20 = 95.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","어깨너비","18","20","18/20 = 90.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","가슴단면","19","20","19/20 = 95.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","소매길이","19","20","19/20 = 95.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","총장","2","3","2/3 = 66.7%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","어깨너비","2","3","2/3 = 66.7%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","가슴단면","2","3","2/3 = 66.7%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","소매길이","2","3","2/3 = 66.7%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","총장","4","4","4/4 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","어깨너비","3","4","3/4 = 75.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","가슴단면","4","4","4/4 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","소매길이","4","4","4/4 = 100.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 나시/민소매 티셔츠","총장","1","1","1/1 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 나시/민소매 티셔츠","가슴단면","1","1","1/1 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 나시/민소매 티셔츠","어깨너비","1","1","1/1 = 100.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 반소매 티셔츠","총장","2","3","2/3 = 66.7%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 반소매 티셔츠","어깨너비","2","3","2/3 = 66.7%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 반소매 티셔츠","가슴단면","2","3","2/3 = 66.7%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","스포츠/레저 / 상의 / 반소매 티셔츠","소매길이","2","3","2/3 = 66.7%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 긴소매 티셔츠","총장","2","2","2/2 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 긴소매 티셔츠","어깨너비","2","2","2/2 = 100.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 긴소매 티셔츠","가슴단면","2","2","2/2 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 긴소매 티셔츠","소매길이","2","2","2/2 = 100.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","총장","4","4","4/4 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","어깨너비","4","4","4/4 = 100.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","가슴단면","4","4","4/4 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 셔츠/블라우스","소매길이","4","4","4/4 = 100.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","총장","2","2","2/2 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","어깨너비","2","2","2/2 = 100.0%","어깨","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","가슴단면","2","2","2/2 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 반소매 티셔츠","소매길이","2","2","2/2 = 100.0%","소매","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 민소매 티셔츠","총장","1","1","1/1 = 100.0%","총장","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
"무신사","상의 / 민소매 티셔츠","가슴단면","1","1","1/1 = 100.0%","가슴","추정 매핑","cm(응답 관행; 명시 확인 불가)","확인할 수 없음","확인할 수 없음","조건부 가능","카테고리·측정 기준별 의미 검증 필요"
