"쇼핑몰","원본 치수명","FitMatch 표준 치수 후보","대응 확실성"
"무신사","총장","총장","추정 대응"
"무신사","어깨너비","어깨","추정 대응"
"무신사","가슴단면","가슴","추정 대응"
"무신사","소매길이","소매","추정 대응"
"무신사","허리단면","허리","추정 대응"
"무신사","엉덩이단면","엉덩이","추정 대응"
"무신사","허벅지단면","허벅지","추정 대응"
"무신사","밑위","밑위","추정 대응"
"무신사","밑단단면","밑단","추정 대응"
"유니클로","전체 길이","총장","추정 대응"
"유니클로","어깨너비(솔기에서 솔기까지)","어깨","추정 대응"
"유니클로","가슴너비","가슴","추정 대응"
"유니클로","등 중심부터 소매까지 길이","소매","추정 대응"
"유니클로","목둘레","","미대응"
"유니클로","소매 길이","소매","추정 대응"
"유니클로","허리 둘레","허리","추정 대응"
"유니클로","엉덩이 둘레","엉덩이","추정 대응"
"유니클로","허벅지 너비","허벅지","추정 대응"
"유니클로","밑위 길이","밑위","추정 대응"
"유니클로","밑단 너비","밑단","추정 대응"
"유니클로","다리 길이","인심","추정 대응"
"유니클로","스커트 길이","총장","추정 대응"
"유니클로","몸 너비 (주름 및 박음질 포함)","","미대응"
"유니클로","치마 길이 [페티코트]","총장","추정 대응"
"유니클로","허리 둘레 (상품 사이즈) [페티코트]","허리","추정 대응"
