사례 유형,쇼핑몰,상품 ID 또는 코드,상품 URL,원본 카테고리,선정 근거,사용 주의,supplemental_case
정상 사례,무신사,6708161,https://www.musinsa.com/products/6708161,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6708161,https://www.musinsa.com/products/6708161,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6797266,https://www.musinsa.com/products/6797266,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6797266,https://www.musinsa.com/products/6797266,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6693832,https://www.musinsa.com/products/6693832,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6693832,https://www.musinsa.com/products/6693832,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6755330,https://www.musinsa.com/products/6755330,상의 / 셔츠/블라우스,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
품절 사례,무신사,6755330,https://www.musinsa.com/products/6755330,상의 / 셔츠/블라우스,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6732631,https://www.musinsa.com/products/6732631,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6732631,https://www.musinsa.com/products/6732631,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6797265,https://www.musinsa.com/products/6797265,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6797265,https://www.musinsa.com/products/6797265,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6709666,https://www.musinsa.com/products/6709666,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6709666,https://www.musinsa.com/products/6709666,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6708096,https://www.musinsa.com/products/6708096,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6708096,https://www.musinsa.com/products/6708096,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6797271,https://www.musinsa.com/products/6797271,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6797271,https://www.musinsa.com/products/6797271,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6008535,https://www.musinsa.com/products/6008535,스포츠/레저 / 상의 / 나시/민소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6008535,https://www.musinsa.com/products/6008535,스포츠/레저 / 상의 / 나시/민소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
정상 사례,무신사,6722931,https://www.musinsa.com/products/6722931,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
별칭 사례,무신사,6722931,https://www.musinsa.com/products/6722931,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
품절 사례,무신사,6709673,https://www.musinsa.com/products/6709673,상의 / 반소매 티셔츠,"",공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6745094,https://www.musinsa.com/products/6745094,스포츠/레저 / 상의 / 반소매 티셔츠,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6755261,https://www.musinsa.com/products/6755261,상의 / 반소매 티셔츠,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6499914,https://www.musinsa.com/products/6499914,아우터 / 카디건,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6127744,https://www.musinsa.com/products/6127744,아우터 / 카디건,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6026203,https://www.musinsa.com/products/6026203,아우터 / 슈트/블레이저 재킷,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
품절 사례,무신사,4821229,https://www.musinsa.com/products/4821229,아우터 / 기타 아우터,"",공개 응답 재현용; 앱 파서 미실행,아니오
