source,target,external_category_id,raw_full_path,decision_status,semantic_category_code,garment_type_code,comparison_family_code,sleeve_length_class,pants_length_class,leggings_length_class,skirt_length_class,body_length_class,app_category_code,app_detail_code,mapping_status,comparison_eligible,decision_reason
"musinsa","UNKNOWN","001","상의","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","001001","상의 > 반소매 티셔츠","confirmed","tops","tshirt","tshirt","short_sleeve","not_applicable","not_applicable","not_applicable","not_applicable","tops","short_sleeve","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001002","상의 > 셔츠/블라우스","confirmed","tops","shirt_blouse","shirt_blouse","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","shirt_blouse","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001003","상의 > 피케/카라 티셔츠","confirmed","tops","polo_shirt","polo_shirt","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","polo_shirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001004","상의 > 후드 티셔츠","confirmed","tops","hoodie","hoodie","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","hoodie","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001005","상의 > 맨투맨/스웨트","confirmed","tops","sweatshirt","sweatshirt","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","sweatshirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001006","상의 > 니트/스웨터","confirmed","tops","knit_sweater","knit_sweater","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","knit_sweater","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001008","상의 > 기타 상의","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","001010","상의 > 긴소매 티셔츠","confirmed","tops","tshirt","tshirt","long_sleeve","not_applicable","not_applicable","not_applicable","not_applicable","tops","long_sleeve","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","001011","상의 > 민소매 티셔츠","confirmed","tops","tank_top","tank_top","sleeveless","not_applicable","not_applicable","not_applicable","not_applicable","tops","sleeveless","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002","아우터","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002001","아우터 > 블루종/MA-1","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002002","아우터 > 레더/라이더스 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002003","아우터 > 슈트/블레이저 재킷","confirmed","outerwear","blazer","blazer","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","blazer","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002004","아우터 > 스타디움 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002006","아우터 > 나일론/코치 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002007","아우터 > 겨울 싱글 코트","confirmed","outerwear","coat","coat","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","coat","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002008","아우터 > 환절기 코트","confirmed","outerwear","coat","coat","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","coat","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002009","아우터 > 겨울 기타 코트","confirmed","outerwear","coat","coat","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","coat","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002012","아우터 > 숏패딩/헤비 아우터","confirmed","outerwear","puffer_jacket","puffer_jacket","not_applicable","not_applicable","not_applicable","not_applicable","short_body","outerwear","short_padding","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002013","아우터 > 롱패딩/헤비 아우터","confirmed","outerwear","puffer_jacket","puffer_jacket","not_applicable","not_applicable","not_applicable","not_applicable","long_body","outerwear","long_padding","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002014","아우터 > 사파리/헌팅 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002015","아우터 > 기타 아우터","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002017","아우터 > 트러커 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002018","아우터 > 트레이닝 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002019","아우터 > 아노락 재킷","confirmed","outerwear","anorak","anorak","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","anorak","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002020","아우터 > 카디건","confirmed","tops","cardigan","cardigan","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","cardigan","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002021","아우터 > 베스트","confirmed","","outer_vest","outer_vest","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","vest","direct","true","preserved existing confirmed decision"
