source,conflict_type,db_identity,db_external_id,db_target,db_path,snapshot_identity,snapshot_id,snapshot_target,snapshot_path,method,current_official_identity,past_identity,alias_relationship,target_separation_required,snapshot_version_change,parent_change,rename,id_reissued,manual_review,canonical_action
"musinsa","target_enrichment","musinsa:NULL:106:193","106","null","키즈","musinsa:KIDS:106:937","106","KIDS","키즈","id","106","106","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004:261","106004","null","키즈 > 상의","musinsa:KIDS:106004:938","106004","KIDS","키즈 > 상의","id","106004","106004","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004001:270","106004001","null","키즈 > 상의 > 반소매 티셔츠","musinsa:KIDS:106004001:939","106004001","KIDS","키즈 > 상의 > 반소매 티셔츠","id","106004001","106004001","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004002:262","106004002","null","키즈 > 상의 > 긴소매 티셔츠","musinsa:KIDS:106004002:940","106004002","KIDS","키즈 > 상의 > 긴소매 티셔츠","id","106004002","106004002","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004003:263","106004003","null","키즈 > 상의 > 민소매 티셔츠","musinsa:KIDS:106004003:941","106004003","KIDS","키즈 > 상의 > 민소매 티셔츠","id","106004003","106004003","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004004:269","106004004","null","키즈 > 상의 > 맨투맨/스웨트","musinsa:KIDS:106004004:942","106004004","KIDS","키즈 > 상의 > 맨투맨/스웨트","id","106004004","106004004","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004005:265","106004005","null","키즈 > 상의 > 후드 티셔츠","musinsa:KIDS:106004005:943","106004005","KIDS","키즈 > 상의 > 후드 티셔츠","id","106004005","106004005","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004006:264","106004006","null","키즈 > 상의 > 니트/스웨터","musinsa:KIDS:106004006:944","106004006","KIDS","키즈 > 상의 > 니트/스웨터","id","106004006","106004006","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004007:266","106004007","null","키즈 > 상의 > 기타 상의","musinsa:KIDS:106004007:945","106004007","KIDS","키즈 > 상의 > 기타 상의","id","106004007","106004007","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
"musinsa","target_enrichment","musinsa:NULL:106004011:268","106004011","null","키즈 > 상의 > 셔츠/블라우스","musinsa:KIDS:106004011:946","106004011","KIDS","키즈 > 상의 > 셔츠/블라우스","id","106004011","106004011","false","true","true","false","false","false","true","same source category; preserve NULL audience history and add versioned KIDS audience assignment"
