source_identity,source,external_category_id,parent_external_category_id,raw_path,normalized_path,target,tree_metadata,product_observation_status,observed_product_count,group,sampling_priority,sampling_status,sampled_product_count,semantic_garment_type,length_axes,comparison_family,status,confidence,reason,current_app_support,manual_review_flag,evidence
"musinsa:UNKNOWN:004:44","musinsa","004","null","가방","가방","UNKNOWN","{""depth"":0,""is_leaf"":false}","navigation_only","65071","F","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","review_required","0.5","navigation grouping/non-leaf","unreviewed","true","{""source_url"":""https://www.musinsa.com/category/004/goods?gf=A"",""raw_response_hash"":""98b0f8425e26cd9c3bb979be7c0d1ba4da0a1ccd37c70f334d9f476191a67ff0"",""sample_product_ids"":[""6779558"",""6772549"",""6518147"",""6772622"",""6697277"",""6853570"",""6813675"",""6829510"",""6813433"",""6772435"",""6659333"",""6778822"",""6722356"",""6837420"",""6468149""]}"
"musinsa:UNKNOWN:004001:45","musinsa","004001","004","가방 > 백팩","가방 > 백팩","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","9764","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004001/goods?gf=A"",""raw_response_hash"":""4fe86781e2884f11c51865420d3fa7095b5f08d0707d5abe8987df3e576f3287"",""sample_product_ids"":[""6837420"",""6468132"",""6468123"",""6468125"",""6536726"",""6837406"",""4773862"",""5358391"",""6716925"",""5992263"",""6486540"",""6778192"",""6844757"",""5367680"",""5303123""]}"
"musinsa:UNKNOWN:004002:46","musinsa","004002","004","가방 > 메신저/크로스 백","가방 > 메신저/크로스 백","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","11286","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004002/goods?gf=A"",""raw_response_hash"":""d8b3c987342c9a80133548381e62ed0ce5b11dd28061343f650a55295c0ebcfd"",""sample_product_ids"":[""6853570"",""6626816"",""6780806"",""6109216"",""6402023"",""4771885"",""5336355"",""5391060"",""5829503"",""5983746"",""5309999"",""3512408"",""5129320"",""4153047"",""6632577""]}"
"musinsa:UNKNOWN:004003:47","musinsa","004003","004","가방 > 숄더백","가방 > 숄더백","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","16524","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004003/goods?gf=A"",""raw_response_hash"":""4571a260aec4ada95f9c84c303a3c3d8618bee558d717193d7ef3dca4c2496bb"",""sample_product_ids"":[""6779558"",""6697277"",""6813675"",""6778822"",""6708491"",""5225599"",""6786648"",""6777685"",""6772343"",""3490824"",""6830290"",""5997649"",""4996281"",""5659097"",""4928329""]}"
"musinsa:UNKNOWN:004005:48","musinsa","004005","004","가방 > 클러치 백","가방 > 클러치 백","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","406","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004005/goods?gf=A"",""raw_response_hash"":""65a669885925a5a1308bb985eb883d73c218cf782484d6adeb7469aaf1cd93a6"",""sample_product_ids"":[""5117336"",""4968472"",""1001569"",""5946225"",""5926318"",""2037200"",""5240284"",""6038032"",""1993145"",""991419"",""6629029"",""5929811"",""4550967"",""6900346"",""6095925""]}"
"musinsa:UNKNOWN:004006:49","musinsa","004006","004","가방 > 보스턴/더플백","가방 > 보스턴/더플백","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","1143","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004006/goods?gf=A"",""raw_response_hash"":""9522cc84360303ef3e942ed74186be3bfd1c684a1b10bf18239e48b6825345e0"",""sample_product_ids"":[""6829510"",""4515579"",""5114054"",""4315657"",""4863040"",""3487682"",""6081447"",""4515577"",""6723831"",""3808106"",""3881680"",""4825258"",""6039769"",""5254152"",""4825261""]}"
"musinsa:UNKNOWN:004007:50","musinsa","004007","004","가방 > 웨이스트 백","가방 > 웨이스트 백","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","1063","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004007/goods?gf=A"",""raw_response_hash"":""c46509a6281e22373047b19b039496a51f52a3506f4e80ce0a1acfa00bfc5cf5"",""sample_product_ids"":[""937529"",""2452428"",""5984729"",""5708945"",""5138743"",""4308729"",""1229651"",""1740944"",""6839585"",""6857466"",""4422357"",""6765555"",""6350120"",""6876098"",""6535199""]}"
"musinsa:UNKNOWN:004008:51","musinsa","004008","004","가방 > 브리프 케이스","가방 > 브리프 케이스","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","316","C","3","not_sampled","0","briefs","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","briefs","confirmed_candidate","0.85","leaf path has stable garment term","unreviewed","false","{""source_url"":""https://www.musinsa.com/category/004008/goods?gf=A"",""raw_response_hash"":""27b749cd87baadd18c5938e883682453cdd2dd376637a2b282935e92f0ef6b49"",""sample_product_ids"":[""6478967"",""4315740"",""4820954"",""2514439"",""1377357"",""3030997"",""4058365"",""1633548"",""3517903"",""5871813"",""6038096"",""5255696"",""931176"",""5242628"",""5895586""]}"
"musinsa:UNKNOWN:004009:52","musinsa","004009","004","가방 > 캐리어","가방 > 캐리어","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","1707","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004009/goods?gf=A"",""raw_response_hash"":""e92a0e2fe04520c6e9ef6abc3d503ea3256f38ac6d078d80eecb1269190102d0"",""sample_product_ids"":[""6722356"",""6722346"",""4276106"",""5043409"",""934764"",""4652192"",""4083840"",""6336243"",""1447194"",""6152793"",""5263441"",""5378303"",""4722862"",""4572588"",""5244078""]}"
"musinsa:UNKNOWN:004012:53","musinsa","004012","004","가방 > 가방 소품","가방 > 가방 소품","UNKNOWN","{""depth"":1,""is_leaf"":true}","product_observed","1158","A","4","not_sampled","0","null","{""sleeve"":""unknown"",""pants"":""unknown"",""leggings"":""not_applicable"",""skirt"":""not_applicable"",""body"":""unknown""}","null","rejected","0.95","path denotes non-garment merchandise","not_applicable","false","{""source_url"":""https://www.musinsa.com/category/004012/goods?gf=A"",""raw_response_hash"":""7e3d3cf2bf1ca7b9b89bb22ace5dac57917abc7129244a695be3002ba8206cca"",""sample_product_ids"":[""6547369"",""4702763"",""6795094"",""4397076"",""4437329"",""4075641"",""6195514"",""3558841"",""6093122"",""2562945"",""5968237"",""5107197"",""4887066"",""3878786"",""6349857""]}"
