source,external_category_id,parent_external_category_id,raw_name,raw_full_path,normalized_full_path,depth,target,is_leaf,activity_status,source_url,endpoint_kind,collected_at,source_evidence,raw_response_hash
"uniqlo","57892","null","WOMEN","WOMEN","WOMEN","0","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""genders"",""key"":""women"",""parent_count"":0}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57893","null","MEN","MEN","MEN","0","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""genders"",""key"":""men"",""parent_count"":0}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57894","null","KIDS","KIDS","KIDS","0","KIDS","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""genders"",""key"":""kids"",""parent_count"":0}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57925","null","BABY","BABY","BABY","0","BABY","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""genders"",""key"":""baby"",""parent_count"":0}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57959","57892","티셔츠 & UT","티셔츠 & UT","티셔츠 & UT","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""tops"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","95354","57892","셔츠 & 블라우스 & 폴로셔츠","셔츠 & 블라우스 & 폴로셔츠","셔츠 & 블라우스 & 폴로셔츠","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""shirts-and-blouses"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","95353","57892","니트 & 가디건","니트 & 가디건","니트 & 가디건","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""sweaters-and-knitwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57958","57892","아우터","아우터","아우터","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""outerwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57960","57892","팬츠","팬츠","팬츠","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""bottoms"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57961","57892","원피스 & 스커트","원피스 & 스커트","원피스 & 스커트","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""dress-and-skirts"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57963","57892","이너웨어","이너웨어","이너웨어","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""innerwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57964","57892","파자마 & 홈웨어","파자마 & 홈웨어","파자마 & 홈웨어","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""loungewear-and-homeware"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57965","57892","액세서리","액세서리","액세서리","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""accessories"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","148314","57892","라운지 & 언더웨어 컬렉션","라운지 & 언더웨어 컬렉션","라운지 & 언더웨어 컬렉션","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""lounge-and-underwear-collection"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","81619","57892","에어리즘","에어리즘","에어리즘","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""airism"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57962","57892","스포츠 유틸리티 웨어","스포츠 유틸리티 웨어","스포츠 유틸리티 웨어","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""sport-utility-wear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","114788","57892","UV Protection","UV Protection","UV Protection","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""uv-protection"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","116863","57892","리넨","리넨","리넨","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""linen"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","107542","57892","Special Collaborations","Special Collaborations","Special Collaborations","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""special-collaboration"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","124424","57892","GU","GU","GU","1","WOMEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""gu"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57967","57893","티셔츠 & 스웨트셔츠 & UT","티셔츠 & 스웨트셔츠 & UT","티셔츠 & 스웨트셔츠 & UT","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""tops"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","95356","57893","셔츠","셔츠","셔츠","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""shirts-and-polo-shirts"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","95355","57893","니트 & 가디건","니트 & 가디건","니트 & 가디건","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""sweaters-and-knitwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57966","57893","아우터","아우터","아우터","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""outerwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57968","57893","팬츠","팬츠","팬츠","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""bottoms"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57970","57893","이너웨어","이너웨어","이너웨어","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""innerwear"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57971","57893","라운지 팬츠","라운지 팬츠","라운지 팬츠","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""loungewear-and-homeware"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
"uniqlo","57972","57893","액세서리","액세서리","액세서리","1","MEN","false","unknown","https://www.uniqlo.com/kr/ko/men_navigation","official_navigation_preloaded_taxonomies","2026-08-03T02:01:21.580Z","{""group"":""classes"",""key"":""accessories"",""parent_count"":1}","2dad9b2eaa9e0b3966064c40708d8fff9be454662a8eba631cdaf427266f1f53"
