sample_id,captured_at,product_url,section,family,subfamily,product_name,style_number,catentry_id,internal_product_id,identity_resolution_source,http_status,challenge_detected,response_type,measure_guide_present,size_guide_present,raw_measurement_codes,unit,measurement_basis_status,category_resolution_status,notes,response_hash,fixture_path
men_shirt_04166166,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A6%E1%84%80%E1%85%B2%E1%86%AF%E1%84%85%E1%85%A5-%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04166166.html?v1=545490346,MAN,셔츠,B. Camisería,레귤러 핏 셔츠,04166166,545490346,545486853,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,3ceacf9e80612d9de4fe8bfcbce3f62adaed890c8b516e99024ed207ab4c42a2,cache/545486853.json
men_blazer_05552381,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/100-%E1%84%8B%E1%85%AE%E1%86%AF-%E1%84%85%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%A5-p05552381.html?v1=551791628,MAN,브레이저,Blasier,릴렉스핏 100% 울 블레이저,05552381,551791628,551789966,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,55e45b7bfa20cf1cd2ebd8e946697da2f5356fdae0f9d78651326ada69d3b1e4,cache/551789966.json
men_pants_06861017,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p06861017.html?v1=555813567,MAN,바지,F. Pant Resto,플리츠 스트레이트 핏 팬츠,06861017,555813567,555794883,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,a27fabfd335ce82574cf5da9fbc9a5cb0802b50d0a71b0c11400b2d9a8f87e59,cache/555794883.json
men_knit_05987400,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A6%E1%84%80%E1%85%B2%E1%86%AF%E1%84%85%E1%85%A5%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%91%E1%85%A9%E1%86%AF%E1%84%85%E1%85%A9%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p05987400.html?v1=545479232,MAN,스웨터,B. Jersey M/C,레귤러핏 니트 폴로셔츠,05987400,545479232,545475314,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,c6013d245fb0b9b299e48c1035483672bf165868b6ae65ea4b008c615fa09122,cache/545475314.json
men_outer_06987339,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%86%E1%85%A6%E1%84%90%E1%85%A1%E1%86%AF-%E1%84%90%E1%85%A9%E1%84%80%E1%85%B3%E1%86%AF-%E1%84%85%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p06987339.html,MAN,스포츠 재킷,B. Cazadora,메탈 토글 릴렉스핏 재킷,06987339,549815778,549813606,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,c6013d245fb0b9b299e48c1035483672bf165868b6ae65ea4b008c615fa09122,cache/549813606.json
men_denim_04470350,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A6%E1%84%80%E1%85%B2%E1%86%AF%E1%84%85%E1%85%A5%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%87%E1%85%A1%E1%84%8C%E1%85%B5-p04470350.html,MAN,바지,B. Pant Denim,레귤러핏 청바지,04470350,547367126,547363203,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,6931c907cff3c240038cc60b5b178d296f24301c80dbf2628b4be09e964d14d0,cache/547363203.json
men_shorts_04090032,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5%E1%84%87%E1%85%A2%E1%86%A8-%E1%84%8B%E1%85%B0%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A9%E1%84%90%E1%85%B3%E1%86%AB-%E1%84%89%E1%85%AD%E1%84%8E%E1%85%B3-p04090032.html,MAN,버뮤다반바지,F.Bermuda Resto,코튼 페이퍼백 쇼츠,04090032,555080429,555068728,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,c97a0b41682ec54e628684ebe4436d6c30711d149ea867b72b12ce1617b478d8,cache/555068728.json
men_sweatshirt_04087303,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A9-%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A9%E1%86%A8-%E1%84%8C%E1%85%B5%E1%84%91%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B0%E1%84%90%E1%85%B3%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04087303.html,MAN,스웨트 셔츠,F. Sudadera,컬러 블록 지퍼넥 스웨트셔츠,04087303,549569317,549551955,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,c6013d245fb0b9b299e48c1035483672bf165868b6ae65ea4b008c615fa09122,cache/549551955.json
women_tshirt_04174325_navy,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%87%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%86%E1%85%A2-%E1%84%90%E1%85%B5%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04174325.html?v1=547793140,WOMAN,티셔츠,C.CTAS BASICAS,슬림핏 반소매 티셔츠,04174325,547793140,545408873,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,b891bb9a44d5cb2084d3d2955d9b971716bc7d721134a7cd40816db739fed064,cache/545408873.json
women_tshirt_04174325_brown,2026-08-21T01:13:19.771Z,https://www.zara.com/kr/ko/%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%87%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%86%E1%85%A2-%E1%84%90%E1%85%B5%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04174325.html?v1=555526397,WOMAN,티셔츠,C.CTAS BASICAS,슬림핏 반소매 티셔츠,04174325,555526397,545408873,product_page_embedded_analytics,200,false,body_only,false,true,,,NOT_APPLICABLE,STRUCTURED_SOURCE_HINT,cached response reused,b891bb9a44d5cb2084d3d2955d9b971716bc7d721134a7cd40816db739fed064,cache/545408873.json
