provider,category_key,category_path,group_codes,group_labels,disposition,product_count,audience_codes,sample_product_ids,sample_product_names,mapping_basis,notes,source_ids,source_names
musinsa,musinsa:001001,상의 > 반소매 티셔츠,A,일반 상의,COMPARABLE,7,M|W,7143077|7144369|7148532|7154426|7161552,JXP Extreme Performance Dyeing T-Shirt : Dark Grey (JR3TSU178DG)|SOL 심볼 로고 포켓 반팔티셔츠 (블랙)|GOrI Logo T (black)|GOrI Mini Logo T (black)|래글런 반팔 티셔츠,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001001""}","{""depth1"": ""상의"", ""depth2"": ""반소매 티셔츠""}"
musinsa,musinsa:001002,상의 > 셔츠/블라우스,A,일반 상의,COMPARABLE,10,M|W,7143860|7144382|7145669|7157006|7170441,DOUBLE TIE BLOUSE_brown|쉐도우 커브 셔츠_3Colors|에브리데이 클래식 체크 셔츠 (올리브)|Vintage Frayed Check Overshirt (Black) TNSH6F106BK|하벤 스티치 데님 셔츠,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001002""}","{""depth1"": ""상의"", ""depth2"": ""셔츠/블라우스""}"
musinsa,musinsa:001003,상의 > 피케/카라 티셔츠,A,일반 상의,COMPARABLE,2,M,7206414|7206419,Yoyogi Pleats Collared T-Shirt (Black) TNTS6F103BK|Yoyogi Pleats Collared T-Shirt (Navy) TNTS6F103N2,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001003""}","{""depth1"": ""상의"", ""depth2"": ""피케/카라 티셔츠""}"
musinsa,musinsa:001004,상의 > 후드 티셔츠,A,일반 상의,COMPARABLE,9,M|W,7154277|7160934|7161037|7179221|7182550,오리지널 페이즈 오버핏 쭈리 후드 티셔츠 남녀공용 Black|마운틴 버튼 후드 풀오버 (스카이블루)|VLAD 래글런 헨리넥 후드 티셔츠_(VTG 아트웍) 3 COLOR|[우먼] 클래식 패치 로고 후드티 BK6979 (4 COLOR)|PD 보야지 후드티 2Color,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001004""}","{""depth1"": ""상의"", ""depth2"": ""후드 티셔츠""}"
musinsa,musinsa:001005,상의 > 맨투맨/스웨트,A,일반 상의,COMPARABLE,13,M|W,7145511|7145738|7147015|7147364|7147367,헨리넥 스웨트셔츠_SPMWG49C01|[2PACK] 스튜디오 1983 오버핏 맨투맨 티셔츠 M300|COVER STITCH VINTAGE SWEATSHIRT _ NAVY|아카이브고딕 더블 코튼 오버숄더 벌룬핏 맨투맨 다크그레이 OTM25025|아카이브고딕 더블 코튼 오버숄더 벌룬핏 맨투맨 올리브 OTM25025,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001005""}","{""depth1"": ""상의"", ""depth2"": ""맨투맨/스웨트""}"
musinsa,musinsa:001006,상의 > 니트/스웨터,A,일반 상의,COMPARABLE,21,M|W,7147971|7148064|7148316|7155527|7158511,PURE WOOL DEEP V KNIT (3PACKS)|빅 C 로고 니트 라이트 카키|ROLLNECK RINGER KNIT _ ORANGE|케이블 니트 카디건 KT1859|소프트 데일리 니트_NAVY,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001006""}","{""depth1"": ""상의"", ""depth2"": ""니트/스웨터""}"
musinsa,musinsa:001008,상의 > 기타 상의,A,일반 상의,COMPARABLE,1,M,7161258,컬루어 이지 집업 (네이비),무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001008""}","{""depth1"": ""상의"", ""depth2"": ""기타 상의""}"
musinsa,musinsa:001010,상의 > 긴소매 티셔츠,A,일반 상의,COMPARABLE,49,M|W,7144162|7145762|7147930|7147938|7148749,젠 슬릿 홀터 셔링 탑_Black|RiRi LOGO LONG SLEEVE - LIGHT YELLOW|페이디드 크루넥 롱슬리브 [5COLORS]|A7|Vintage stripe Henley sleeve - Black,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001010""}","{""depth1"": ""상의"", ""depth2"": ""긴소매 티셔츠""}"
musinsa,musinsa:001011,상의 > 민소매 티셔츠,A,일반 상의,COMPARABLE,4,W,7160729|7160732|7167681|7172428,"Maisie Lace Sleeveless Top (Soft Mint)|Maisie Lace Sleeveless Top (Custard)|코튼 홀터 슬리브리스 (Red)|Multi-Way Tube Top, Turkish Blue",무신사 categoryDepth의 상의 계층,,"{""depth1"": ""001"", ""depth2"": ""001011""}","{""depth1"": ""상의"", ""depth2"": ""민소매 티셔츠""}"
musinsa,musinsa:002001,아우터 > 블루종/MA-1,B,아우터,COMPARABLE,15,M|W,7144782|7147018|7148649|7157426|7158707,공용 에센셜 립 블루종 점퍼(CUM604)|더블 멀티 포켓 워싱 벨티드 오버핏 투웨이 블루종 코튼 집업 자켓 _2COLOR|NYLON FLIGHT JACKET _ OLIVE|[unisex] 스웨이드 크롭 바이커 자켓 블랙|오리지널 시리즈™ 크롭 오버핏 MA-1 [카키],무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002001""}","{""depth1"": ""아우터"", ""depth2"": ""블루종/MA-1""}"
