source,product_id,product_code,size_name,raw_measurement_name,raw_measurement_value,raw_unit,measurement_type,measurement_source,canonical_key,normalized_value_cm,mapping_status,mapping_note,source_url
MUSINSA,6800912,J6222CRS08WHA,SIZE=S,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6800912/actual-size
MUSINSA,6800912,J6222CRS08WHA,SIZE=M,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6800912/actual-size
MUSINSA,5328890,25F777971,FREE,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/5328890/actual-size
MUSINSA,6716212,P0000BSW,white/free,총장,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6716212/actual-size
MUSINSA,6716212,P0000BSW,white/free,가슴단면,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6716212/actual-size
MUSINSA,6716212,P0000BSW,white/free,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6716212/actual-size
MUSINSA,6666754,SPRNG26G99,FREE[999],총장,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6666754/actual-size
MUSINSA,4996374,1803003ZY003FN401SS25,S,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/4996374/actual-size
MUSINSA,4996374,1803003ZY003FN401SS25,M,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/4996374/actual-size
MUSINSA,4996374,1803003ZY003FN401SS25,L,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/4996374/actual-size
MUSINSA,6686120,IM3820-101,S,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6686120/actual-size
MUSINSA,6686120,IM3820-101,M,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6686120/actual-size
MUSINSA,6686120,IM3820-101,L,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6686120/actual-size
MUSINSA,6686120,IM3820-101,XL,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6686120/actual-size
MUSINSA,6686120,IM3820-101,2XL,어깨너비,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/6686120/actual-size
MUSINSA,5086034,HQ0621-010,XS,총장,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/5086034/actual-size
MUSINSA,5086034,HQ0621-010,XS,가슴단면,0,cm,GARMENT_MEASUREMENT,STRUCTURED_API,,,EXCLUDED_ZERO_VALUE,Official response returned 0; preserved raw and excluded from FitMatch canonical fields because zero may be a placeholder.,https://goods-detail.musinsa.com/api2/goods/5086034/actual-size
